ID,Name,Email,GP2_cohort_1,GP2_cohort_2,GP2_cohort_3,N_cohorts_submitted,1_Trial_capability,2_Site_involved_in_trials,3_Site_name,Region,4_Single_vs_multi_centre,5_Actively_recruiting,6_Names_Trials_Engaged,7_Industry_contact_consent,8_Biomarkers_collecting,8_Biomarkers_collecting_MRI,8_Biomarkers_collecting_PETscan,8_Biomarkers_collecting_DATscan,8_Biomarkers_collecting_Blood_Plasma_Serum,8_Biomarkers_collecting_CSF,8_Biomarkers_collecting_Skin_biopsy,8_Biomarkers_collecting_Brain,8_Biomarkers_collecting_Smell_testing,8_Biomarkers_collecting_Not_sure,8_Biomarkers_collecting_Other,9_Biomarkers_possible,9_Biomarkers_possible_MRI ,9_Biomarkers_possible_PETscan,9_Biomarkers_possible_DATscan,9_Biomarkers_possible_Blood_Plasma_Serum,9_Biomarkers_possible_CSF,9_Biomarkers_possible_Skin_biopsy, 9_Biomarkers_possible_Brain,9_Biomarkers_possible_Smell_testing,9_Biomarkers_possible_Other,10_SAA_generated
PI-01,redacted,redacted,redacted,redacted,NA,2,My centre has previously recruited movement disorders patients to a drug trial,Yes,redacted,EUR,Multi-Centre,Yes,redacted,Yes,"MRI, DATscan, Blood for Plasma/Seurm, CSF, Skin biopsy, Post-mortem brain donation, Smell testing",Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,"MRI, PETscan, DATscan, Blood for Plasma/Seurm, CSF, Skin biopsy, Post-mortem brain donation, Smell testing",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
PI-02,redacted,redacted,redacted,NA,NA,1,My centre has previously recruited movement disorders patients to a drug trial,Yes,redacted,EUR,Multi-Centre,Yes,redacted,NA,"MRI, PETscan, DATscan, Blood for Plasma/Seurm, CSF, Skin biopsy, Post-mortem brain donation, Smell testing, SNCA seeing",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,"MRI, PETscan, DATscan, Blood for Plasma/Seurm, CSF, Skin biopsy, Post-mortem brain donation, Smell testing",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
PI-03,redacted,redacted,redacted,redacted,NA,1,My centre has previously recruited movement disorders patients to a drug trial,Yes,redacted,EUR,Single Centre,Yes,redacted,NA,"MRI, DATscan, Blood for Plasma/Seurm, CSF, Skin biopsy, Smell testing, iPSC, stool, urine, breath",Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,"MRI, DATscan, Blood for Plasma/Seurm, CSF, Skin biopsy, Smell testing, iPSC, stool, urine, breath",Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
PI-04,redacted,redacted,redacted,NA,NA,1,My centre has drug trials infrastructure and we would like to be involved in future trials,Yes,redacted,NAMR,Single Centre,Yes,redacted,NA,"MRI, PETscan, DATscan, Blood for Plasma/Seurm, CSF, Skin biopsy, Post-mortem brain donation, Smell testing",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,"MRI, PETscan, DATscan, Blood for Plasma/Seurm, CSF, Skin biopsy, Post-mortem brain donation, Smell testing",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
PI-05,redacted,redacted,redacted,NA,NA,1,My centre has previously recruited movement disorders patients to a drug trial,Yes,redacted,NAMR,Single Centre,Yes,redacted,NA,"MRI, PETscan, Blood for Plasma/Seurm, Smell testing",Yes,Yes,No,Yes,No,No,No,Yes,No,No,"MRI, PETscan, DATscan, Blood for Plasma/Seurm, CSF, Skin biopsy, Post-mortem brain donation, Smell testing",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
PI-06,redacted,redacted,redacted,NA,NA,1,My centre does not currently have drug trial infrastructure but we would like to develop this,No,redacted,AFR,Multi-Centre,Yes,NONE / PREFER NOT TO ANSWER,NA,"MRI, Blood for Plasma/Seurm, Smell testing",Yes,No,No,Yes,No,No,No,Yes,No,No,"MRI, Blood for Plasma/Seurm, CSF, Skin biopsy, Smell testing",Yes,No,No,Yes,Yes,Yes,No,Yes,No,No
PI-07,redacted,redacted,redacted,NA,NA,1,My centre has drug trials infrastructure and we would like to be involved in future trials,No,redacted,AFR,Multi-Centre,Yes,NONE / PREFER NOT TO ANSWER,NA,"MRI, Blood for Plasma/Seurm",Yes,No,No,Yes,No,No,No,No,No,No,"MRI, PETscan, Blood for Plasma/Seurm, CSF, Skin biopsy, Smell testing",Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No
PI-08,redacted,redacted,redacted,NA,NA,1,My centre has previously recruited movement disorders patients to a drug trial,Yes,redacted,EUR,Multi-Centre,Yes,redacted,NA,"MRI, PETscan, DATscan, Blood for Plasma/Seurm, CSF, Skin biopsy, Post-mortem brain donation, Smell testing",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,"MRI, PETscan, DATscan, Blood for Plasma/Seurm, CSF, Skin biopsy, Post-mortem brain donation, Smell testing",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
PI-09,redacted,redacted,redacted,NA,NA,1,My centre has previously recruited movement disorders patients to a drug trial,Yes,redacted,EUR,Multi-Centre,Yes,redacted,Yes,"MRI, PETscan, DATscan, Blood for Plasma/Seurm, CSF, Smell testing",Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,"MRI, PETscan, DATscan, Blood for Plasma/Seurm, CSF, Skin biopsy, Smell testing",Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes
PI-10,redacted,redacted,redacted,NA,NA,1,My centre has previously recruited movement disorders patients to a drug trial,Yes,redacted,EUR,Multi-Centre,Yes,redacted,Yes,"MRI, DATscan, Blood for Plasma/Seurm, Smell testing",Yes,No,Yes,Yes,No,No,No,Yes,No,No,"MRI, DATscan, Blood for Plasma/Seurm, CSF, Skin biopsy, Smell testing",Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No
